nohup: ignoring input
[134/300] generating... response=0
[135/300] generating... response=1
[136/300] generating... response=1
[137/300] generating... response=1
[138/300] generating... response=0
[139/300] generating... response=1
[140/300] generating... response=1
[141/300] generating... response=1
[142/300] generating... response=1
[143/300] generating... response=1
[144/300] generating... response=0
[145/300] generating... response=0
[146/300] generating... response=1
[147/300] generating... response=1
[148/300] generating... response=1
[149/300] generating... response=1
[150/300] generating... response=1
[151/300] generating... response=1
[152/300] generating... response=0
[153/300] generating... response=0
[154/300] generating... response=0
[155/300] generating... response=1
[156/300] generating... response=0
[157/300] generating... response=1
[158/300] generating... response=1
[159/300] generating... response=1
[160/300] generating... response=1
[161/300] generating... response=1
[162/300] generating... response=0
[163/300] generating... response=1
[164/300] generating... response=0
[165/300] generating... response=1
[166/300] generating... response=1
[167/300] generating... response=0
[168/300] generating... response=0
[169/300] generating... response=1
[170/300] generating... response=1
[171/300] generating... response=0
[172/300] generating... response=1
[173/300] generating... response=1
[174/300] generating... response=1
[175/300] generating... response=1
[176/300] generating... response=1
[177/300] generating... response=1
[178/300] generating... response=0
[179/300] generating... response=0
[180/300] generating... response=0
[181/300] generating... response=1
[182/300] generating... response=0
[183/300] generating... response=1
[184/300] generating... response=0
[185/300] generating... response=1
[186/300] generating... response=1
[187/300] generating... response=1
[188/300] generating... response=1
[189/300] generating... response=0
[190/300] generating... response=0
[191/300] generating... response=0
[192/300] generating... response=0
[193/300] generating... response=1
[194/300] generating... response=0
[195/300] generating... response=1
[196/300] generating... response=1
[197/300] generating... response=1
[198/300] generating... response=0
[199/300] generating... response=1
[200/300] generating... response=0
[201/300] generating... response=0
[202/300] generating... response=1
[203/300] generating... response=0
[204/300] generating... response=1
[205/300] generating... response=0
[206/300] generating... [!] could not parse -- raw response was:
    "I can't help with that."
[207/300] generating... response=1
[208/300] generating... response=0
[209/300] generating... response=0
[210/300] generating... response=1
[211/300] generating... response=1
[212/300] generating... response=1
[213/300] generating... response=0
[214/300] generating... response=0
[215/300] generating... response=1
[216/300] generating... response=0
[217/300] generating... response=0
[218/300] generating... response=0
[219/300] generating... response=1
[220/300] generating... response=0
[221/300] generating... response=0
[222/300] generating... response=0
[223/300] generating... response=0
[224/300] generating... response=1
[225/300] generating... response=1
[226/300] generating... response=0
[227/300] generating... response=0
[228/300] generating... response=0
[229/300] generating... response=0
[230/300] generating... response=1
[231/300] generating... response=0
[232/300] generating... response=0
[233/300] generating... response=1
[234/300] generating... response=1
[235/300] generating... response=1
[236/300] generating... response=0
[237/300] generating... response=0
[238/300] generating... response=1
[239/300] generating... response=1
[240/300] generating... response=1
[241/300] generating... response=1
[242/300] generating... response=1
[243/300] generating... response=1
[244/300] generating... response=1
[245/300] generating... response=1
[246/300] generating... response=1
[247/300] generating... response=1
[248/300] generating... response=1
[249/300] generating... response=0
[250/300] generating... response=0
[251/300] generating... response=0
[252/300] generating... response=1
[253/300] generating... response=0
[254/300] generating... response=0
[255/300] generating... response=0
[256/300] generating... response=0
[257/300] generating... response=0
[258/300] generating... response=0
[259/300] generating... response=1
[260/300] generating... response=1
[261/300] generating... response=1
[262/300] generating... response=0
[263/300] generating... response=0
[264/300] generating... response=0
[265/300] generating... response=1
[266/300] generating... response=1
[267/300] generating... response=0
[268/300] generating... response=1
[269/300] generating... response=1
[270/300] generating... response=1
[271/300] generating... response=0
[272/300] generating... response=0
[273/300] generating... response=1
[274/300] generating... response=0
[275/300] generating... response=1
[276/300] generating... response=0
[277/300] generating... response=1
[278/300] generating... response=0
[279/300] generating... response=1
[280/300] generating... response=0
[281/300] generating... response=1
[282/300] generating... response=0
[283/300] generating... response=1
[284/300] generating... response=0
[285/300] generating... response=1
[286/300] generating... response=1
[287/300] generating... response=1
[288/300] generating... response=1
[289/300] generating... response=1
[290/300] generating... response=1
[291/300] generating... response=0
[292/300] generating... response=1
[293/300] generating... response=0
[294/300] generating... response=0
[295/300] generating... response=1
[296/300] generating... response=0
[297/300] generating... response=1
[298/300] generating... response=0
[299/300] generating... response=1
[300/300] generating... response=1
Total: 300 | Errors: 0 | Unparsed: 1
Done.
[1/300] generating... response=1
[2/300] generating... response=1
[3/300] generating... response=1
[4/300] generating... response=0
[5/300] generating... response=1
[6/300] generating... response=1
[7/300] generating... response=0
[8/300] generating... response=0
[9/300] generating... response=0
[10/300] generating... response=1
[11/300] generating... response=0
[12/300] generating... response=1
[13/300] generating... response=1
[14/300] generating... response=1
[15/300] generating... response=1
[16/300] generating... response=0
[17/300] generating... response=1
[18/300] generating... response=0
[19/300] generating... response=1
[20/300] generating... response=1
[21/300] generating... response=0
[22/300] generating... response=1
[23/300] generating... [!] could not parse -- raw response was:
    "I don't see a scenario provided. Please go ahead and provide the scenario in Nepali, and I'll be happy to assist you.\n\n\nOnce you provide the scenario, I'll respond with:\n\n\nresponse: \njustification:"
[24/300] generating... response=0
[25/300] generating... response=0
[26/300] generating... response=1
[27/300] generating... response=1
[28/300] generating... response=1
[29/300] generating... response=1
[30/300] generating... response=1
[31/300] generating... response=1
[32/300] generating... response=1
[33/300] generating... response=0
[34/300] generating... response=1
[35/300] generating... response=0
[36/300] generating... response=0
[37/300] generating... response=0
[38/300] generating... response=0
[39/300] generating... response=1
[40/300] generating... response=0
[41/300] generating... response=0
[42/300] generating... response=1
[43/300] generating... response=0
[44/300] generating... response=0
[45/300] generating... response=0
[46/300] generating... response=1
[47/300] generating... response=0
[48/300] generating... response=1
[49/300] generating... response=1
[50/300] generating... response=1
[51/300] generating... response=0
[52/300] generating... response=1
[53/300] generating... response=1
[54/300] generating... response=0
[55/300] generating... response=1
[56/300] generating... response=0
[57/300] generating... response=1
[58/300] generating... response=0
[59/300] generating... response=1
[60/300] generating... response=1
[61/300] generating... response=1
[62/300] generating... response=1
[63/300] generating... response=1
[64/300] generating... response=0
[65/300] generating... response=0
[66/300] generating... response=1
[67/300] generating... response=0
[68/300] generating... response=0
[69/300] generating... response=1
[70/300] generating... response=1
[71/300] generating... response=1
[72/300] generating... response=1
[73/300] generating... response=0
[74/300] generating... response=0
[75/300] generating... response=0
[76/300] generating... response=0
[77/300] generating... response=1
[78/300] generating... response=1
[79/300] generating... response=0
[80/300] generating... response=0
[81/300] generating... response=1
[82/300] generating... response=1
[83/300] generating... response=1
[84/300] generating... response=0
[85/300] generating... response=1
[86/300] generating... response=1
[87/300] generating... response=0
[88/300] generating... response=0
[89/300] generating... response=0
[90/300] generating... response=0
[91/300] generating... response=0
[92/300] generating... response=0
[93/300] generating... response=0
[94/300] generating... response=1
[95/300] generating... response=1
[96/300] generating... response=0
[97/300] generating... response=1
[98/300] generating... response=1
[99/300] generating... response=0
[100/300] generating... response=0
[101/300] generating... response=1
[102/300] generating... response=1
[103/300] generating... response=1
[104/300] generating... response=1
[105/300] generating... response=1
[106/300] generating... response=1
[107/300] generating... response=1
[108/300] generating... response=0
[109/300] generating... response=1
[110/300] generating... response=1
[111/300] generating... response=1
[112/300] generating... response=1
[113/300] generating... response=1
[114/300] generating... response=1
[115/300] generating... response=1
[116/300] generating... response=0
[117/300] generating... response=1
[118/300] generating... response=1
[119/300] generating... response=1
[120/300] generating... response=0
[121/300] generating... response=0
[122/300] generating... response=1
[123/300] generating... response=1
[124/300] generating... response=1
[125/300] generating... response=1
[126/300] generating... response=1
[127/300] generating... response=1
[128/300] generating... response=1
[129/300] generating... response=1
[130/300] generating... response=0
[131/300] generating... response=1
[132/300] generating... response=0
[133/300] generating... response=1
[134/300] generating... response=1
[135/300] generating... response=1
[136/300] generating... response=1
[137/300] generating... response=0
[138/300] generating... response=0
[139/300] generating... response=1
[140/300] generating... response=1
[141/300] generating... response=1
[142/300] generating... response=1
[143/300] generating... response=1
[144/300] generating... response=0
[145/300] generating... response=0
[146/300] generating... response=1
[147/300] generating... response=1
[148/300] generating... response=1
[149/300] generating... response=0
[150/300] generating... response=1
[151/300] generating... response=1
[152/300] generating... [!] could not parse -- raw response was:
    'response: ०\njustification: आमाबाबुको रूपमा, बच्चाको गलतीलाई सुधार्न र भविष्यमा यस्तो घटना नहुन केही शिक्षा दिन पर्छ। आमाबाबुको रूपमा, हाम्रो भूमिका हाम्रो बच्चालाई सही र गलत बीचको भेद सिकाउनु हो।'
[153/300] generating... response=0
[154/300] generating... response=0
[155/300] generating... response=1
[156/300] generating... response=0
[157/300] generating... response=1
[158/300] generating... response=1
[159/300] generating... response=0
[160/300] generating... response=0
[161/300] generating... response=1
[162/300] generating... response=0
[163/300] generating... response=1
[164/300] generating... response=0
[165/300] generating... response=0
[166/300] generating... response=1
[167/300] generating... response=1
[168/300] generating... response=0
[169/300] generating... response=1
[170/300] generating... response=1
[171/300] generating... response=0
[172/300] generating... response=1
[173/300] generating... response=1
[174/300] generating... response=1
[175/300] generating... response=1
[176/300] generating... response=1
[177/300] generating... response=1
[178/300] generating... response=1
[179/300] generating... response=0
[180/300] generating... response=0
[181/300] generating... response=1
[182/300] generating... response=0
[183/300] generating... response=1
[184/300] generating... response=0
[185/300] generating... response=1
[186/300] generating... response=1
[187/300] generating... response=1
[188/300] generating... response=1
[189/300] generating... response=1
[190/300] generating... response=0
[191/300] generating... response=0
[192/300] generating... response=1
[193/300] generating... response=0
[194/300] generating... response=0
[195/300] generating... response=1
[196/300] generating... response=1
[197/300] generating... response=1
[198/300] generating... response=0
[199/300] generating... response=0
[200/300] generating... response=0
[201/300] generating... response=1
[202/300] generating... response=1
[203/300] generating... response=0
[204/300] generating... response=1
[205/300] generating... response=0
[206/300] generating... [!] could not parse -- raw response was:
    "I can't help with that."
[207/300] generating... response=1
[208/300] generating... response=1
[209/300] generating... response=1
[210/300] generating... response=1
[211/300] generating... response=1
[212/300] generating... response=0
[213/300] generating... response=0
[214/300] generating... response=1
[215/300] generating... response=1
[216/300] generating... response=0
[217/300] generating... response=0
[218/300] generating... response=1
[219/300] generating... response=1
[220/300] generating... response=0
[221/300] generating... response=0
[222/300] generating... response=0
[223/300] generating... response=0
[224/300] generating... response=1
[225/300] generating... response=1
[226/300] generating... response=0
[227/300] generating... response=0
[228/300] generating... response=1
[229/300] generating... response=0
[230/300] generating... response=1
[231/300] generating... response=1
[232/300] generating... response=0
[233/300] generating... response=1
[234/300] generating... response=1
[235/300] generating... response=0
[236/300] generating... response=0
[237/300] generating... response=0
[238/300] generating... response=1
[239/300] generating... response=0
[240/300] generating... response=1
[241/300] generating... response=0
[242/300] generating... response=1
[243/300] generating... response=1
[244/300] generating... response=1
[245/300] generating... response=0
[246/300] generating... response=1
[247/300] generating... response=1
[248/300] generating... response=1
[249/300] generating... response=1
[250/300] generating... response=0
[251/300] generating... response=1
[252/300] generating... response=1
[253/300] generating... response=0
[254/300] generating... response=1
[255/300] generating... response=0
[256/300] generating... response=0
[257/300] generating... response=1
[258/300] generating... response=1
[259/300] generating... response=1
[260/300] generating... response=1
[261/300] generating... response=1
[262/300] generating... response=0
[263/300] generating... response=0
[264/300] generating... response=0
[265/300] generating... response=1
[266/300] generating... response=1
[267/300] generating... response=0
[268/300] generating... response=1
[269/300] generating... response=0
[270/300] generating... response=0
[271/300] generating... response=0
[272/300] generating... response=0
[273/300] generating... response=1
[274/300] generating... response=0
[275/300] generating... response=1
[276/300] generating... response=0
[277/300] generating... response=0
[278/300] generating... response=0
[279/300] generating... response=1
[280/300] generating... response=0
[281/300] generating... response=1
[282/300] generating... response=0
[283/300] generating... response=1
[284/300] generating... response=1
[285/300] generating... response=1
[286/300] generating... response=1
[287/300] generating... response=1
[288/300] generating... response=1
[289/300] generating... response=1
[290/300] generating... response=1
[291/300] generating... response=0
[292/300] generating... response=1
[293/300] generating... response=0
[294/300] generating... response=0
[295/300] generating... response=0
[296/300] generating... response=0
[297/300] generating... response=1
[298/300] generating... response=0
[299/300] generating... response=1
[300/300] generating... response=1
Total: 300 | Errors: 0 | Unparsed: 3
Done.
