nohup: ignoring input
[131/300] generating... response=0
[132/300] generating... response=1
[133/300] generating... response=1
[134/300] generating... response=0
[135/300] generating... response=1
[136/300] generating... response=1
[137/300] generating... response=1
[138/300] generating... response=0
[139/300] generating... response=1
[140/300] generating... response=1
[141/300] generating... response=0
[142/300] generating... response=1
[143/300] generating... response=1
[144/300] generating... response=1
[145/300] generating... response=0
[146/300] generating... response=0
[147/300] generating... response=1
[148/300] generating... response=1
[149/300] generating... response=0
[150/300] generating... response=0
[151/300] generating... response=1
[152/300] generating... response=0
[153/300] generating... response=0
[154/300] generating... response=1
[155/300] generating... response=0
[156/300] generating... response=0
[157/300] generating... response=1
[158/300] generating... response=1
[159/300] generating... response=0
[160/300] generating... response=1
[161/300] generating... response=1
[162/300] generating... response=0
[163/300] generating... response=0
[164/300] generating... response=0
[165/300] generating... response=0
[166/300] generating... response=1
[167/300] generating... response=0
[168/300] generating... response=0
[169/300] generating... response=0
[170/300] generating... response=0
[171/300] generating... response=0
[172/300] generating... response=1
[173/300] generating... response=1
[174/300] generating... response=1
[175/300] generating... response=1
[176/300] generating... response=1
[177/300] generating... response=0
[178/300] generating... response=0
[179/300] generating... response=1
[180/300] generating... response=0
[181/300] generating... response=0
[182/300] generating... response=0
[183/300] generating... response=1
[184/300] generating... response=0
[185/300] generating... response=1
[186/300] generating... response=1
[187/300] generating... response=0
[188/300] generating... response=1
[189/300] generating... response=1
[190/300] generating... response=1
[191/300] generating... response=0
[192/300] generating... response=0
[193/300] generating... response=0
[194/300] generating... response=0
[195/300] generating... response=1
[196/300] generating... response=1
[197/300] generating... response=1
[198/300] generating... response=0
[199/300] generating... response=0
[200/300] generating... response=0
[201/300] generating... response=0
[202/300] generating... response=1
[203/300] generating... response=0
[204/300] generating... response=0
[205/300] generating... response=0
[206/300] generating... [!] could not parse -- raw response was:
    "I can't help with that."
[207/300] generating... response=0
[208/300] generating... response=1
[209/300] generating... response=0
[210/300] generating... response=1
[211/300] generating... response=0
[212/300] generating... response=0
[213/300] generating... response=0
[214/300] generating... response=0
[215/300] generating... response=1
[216/300] generating... response=0
[217/300] generating... response=0
[218/300] generating... response=0
[219/300] generating... response=1
[220/300] generating... response=1
[221/300] generating... response=0
[222/300] generating... response=0
[223/300] generating... response=0
[224/300] generating... response=0
[225/300] generating... response=1
[226/300] generating... response=0
[227/300] generating... response=0
[228/300] generating... response=1
[229/300] generating... response=0
[230/300] generating... response=1
[231/300] generating... response=1
[232/300] generating... response=0
[233/300] generating... response=1
[234/300] generating... response=1
[235/300] generating... response=0
[236/300] generating... response=0
[237/300] generating... response=0
[238/300] generating... response=0
[239/300] generating... response=1
[240/300] generating... response=1
[241/300] generating... response=1
[242/300] generating... response=1
[243/300] generating... response=1
[244/300] generating... response=0
[245/300] generating... response=0
[246/300] generating... response=1
[247/300] generating... response=1
[248/300] generating... response=1
[249/300] generating... response=1
[250/300] generating... response=0
[251/300] generating... response=1
[252/300] generating... response=1
[253/300] generating... response=0
[254/300] generating... response=0
[255/300] generating... response=0
[256/300] generating... response=0
[257/300] generating... response=0
[258/300] generating... response=0
[259/300] generating... response=1
[260/300] generating... response=1
[261/300] generating... response=1
[262/300] generating... response=0
[263/300] generating... response=0
[264/300] generating... response=0
[265/300] generating... response=1
[266/300] generating... response=1
[267/300] generating... response=0
[268/300] generating... response=1
[269/300] generating... response=1
[270/300] generating... response=1
[271/300] generating... response=0
[272/300] generating... response=0
[273/300] generating... response=1
[274/300] generating... response=1
[275/300] generating... response=1
[276/300] generating... response=0
[277/300] generating... response=0
[278/300] generating... response=0
[279/300] generating... response=0
[280/300] generating... response=0
[281/300] generating... response=1
[282/300] generating... response=0
[283/300] generating... response=1
[284/300] generating... response=0
[285/300] generating... response=0
[286/300] generating... response=1
[287/300] generating... response=0
[288/300] generating... response=0
[289/300] generating... response=0
[290/300] generating... response=0
[291/300] generating... response=0
[292/300] generating... response=1
[293/300] generating... response=0
[294/300] generating... response=0
[295/300] generating... response=0
[296/300] generating... response=0
[297/300] generating... response=1
[298/300] generating... response=0
[299/300] generating... response=1
[300/300] generating... response=0
Total: 300 | Errors: 0 | Unparsed: 2
Done.
